Id,Title,Abstract,Prerequisites,Level,Year,PresentationUrl,CodeUrl,StartTime,Track_Id,Track_Id1,Speaker_Id,Category,Audience,SurveyUrl,SpeakerDeckUrl,SpeakerRateUrl,Timestamp,Room
2584,Zero to mobile app,"Have you wanted to create a mobile app, but have not made the jump? In this talk will we go from zero to mobile app using technology such as jQuery Mobile and phonegap. Attendants will walk away with a fully functioning mobile app.",HTML5 and Javascript.,100,2013,,,11:20am,,1664,3160,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131522,,,1/1/1900 0:00,
2585,Mobile First Responsive Design,"Responsive design is important, but too many times it takes the form of dumbing down a site for mobile. In this talk, Shawn will show you how to design for mobile first when you improve the site as the platform is more capable.",Basic web development knowledge.,100,2013,http://wildermuth.com/2013/8/25/Atlanta_Code_Camp_2013_Done!,,1:30pm,,1663,3161,Web Development,,https://www.surveymonkey.com/s/ATLCC20132643,https://speakerdeck.com/shawnwildermuth/mobile-first-responsive-design-1,http://speakerrate.com/talks/25281-mobile-first-responsive-design,1/1/1900 0:00,
2586,Securing Javascript Web Applications,"Modern web apps require snappy performance and dynamic content, requirements that are driving more developers to Javascript-based single page apps. This architecture brings many advantages, but it shouldn't be an excuse to forget all the lessons we?ve (painfully) learned about web security. In fact, typical Javascript web apps may introduce vulnerabilities that can expose the web site to common attacks in new ways. Fortunately?as we?ll see?protecting against those attacks doesn?t have to be complex or burdensome.",Basic Javascript and single page web application architecture,100,2013,,,11:20am,,1658,3162,Web Development,,https://www.surveymonkey.com/s/ATLCC20131092,https://speakerdeck.com/sathomas/securing-javascript-web-applications,http://speakerrate.com/talks/25341-securing-javascript-web-applications,1/1/1900 0:00,
2587,Keeping Your Sanity With User Interface Automation,"Many developers and test engineers shy away from User Interface testing, believing the myth that UI tests are difficult and inherently brittle. The vast majority of problems found in web-based functional tests can be traced to a few common issues - dealing with dynamic page content, understanding the differences between explicit and implicit waits, choosing a proper element locator strategy, and understanding how to deal with setup or prerequisite data.<br/>Steven will discuss the basics of dynamic web page content (dealing with those pesky AJAX calls) and how to create automated tests that properly cope with the main variants of dynamic content. You will learn the importance of choosing proper element locators and the impacts of the various options. Discover effective approaches for building and using setup data saving time and effort. We'll use Selenium for examples and demos in C#, but we'll discuss how these solutions are applicable to other technologies as well. Take away proven methods for ensuring high-quality web applications through robust, accurate, and maintainable User Interface tests.","General web development topics, HTML elements.",100,2013,,https://github.com/StevenJV/ACC13 ,10:10am,,1656,3164,Web Development,,https://www.surveymonkey.com/s/ATLCC20131011,,http://speakerrate.com/talks/25321-keeping-your-sanity-with-user-interface-automation,1/1/1900 0:00,
2588,Welcome to Windows 8.1 Development (An Introduction),"This session will give you an overview of key areas that are new to the Windows 8.1 platform. In the talk we will show you the new UI and areas of focus for XAML in Windows 8.1 when building apps with C# plus briefly introduce The Windows Library for JavaScript (WinJS) 2.0 for building apps for Windows 8.1 with HTML and JavaScript. Finally, the talk will provide some basic tips and guidance on upgrading your existing Windows 8 app (whether it uses XAML or HTML) to Windows 8.1 and how to go about it in Visual Studio. Come get introduced to the Windows 8.1 development, and learn some helpful hints and tricks you won't want to miss.",XAML/C# Development,200,2013,,,10:10am,,1661,3165,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131511,,,1/1/1900 0:00,
2589,Real-time Applications On Event Driven Architecture using SocketIO and NodeJS,"Presenter will demonstrate, how to build responsive and real-time applications using SocketIO and NodeJS.",javascript,100,2013,https://github.com/tejas4patel/Basic-Adserver-Using-nodejs-socketio-mongodb,,10:10am,,1662,3166,Web Development,,https://www.surveymonkey.com/s/ATLCC20131581,,,1/1/1900 0:00,
2590,Real-time BI with StreamInsight,"So, you have (or heard of) classic BI, self-service BI, Big Data BI, predictive BI, but do you have real-time BI? Real-time business intelligence (BI) has become one of the top priorities for data analytics . The ability of having near real-time access to large amounts of data across heterogeneous data sources is one of the key factors to enable effective business decisions. Join this talk to learn how to implement real-time analytics over streams of events using StreamInsight and .NET. You'll see how these technologies come together in a Big Data Twitter demo that allows you to analyze the Twitter stream in real time.",.NET programming,300,2013,http://prologika.com/CS/media/g/atlantacodecamp/default.aspx,,10:10am,,1658,3167,Database Development,,https://www.surveymonkey.com/s/ATLCC20131091,,,1/1/1900 0:00,
2591,Cross applications communication using ESB,"Using pub/sub communication between major programming language apps with Phoenix Service Bus<br/>Easy communication between applications running on multiple different platforms such as mobile devices, browsers, and desktop based application.","Basic understanding of any major programming language.
REST, SOA, ESB, Application/Mobile Development",100,2013,,,1:30pm,,1656,3168,General Discussion,,https://www.surveymonkey.com/s/ATLCC20131013,,,1/1/1900 0:00,
2592,"Apps in the Cloud: Designing, Building, Deploying, Managing","What does Cloud Oriented Design and Architecture even mean?<br/>I will get big picture here and talk about all the things that are changing for developers when they start thinking about the cloud. It?ll be raw and cover things about Azure and things about cloud in general. Are you wondering what it means to design on a multi-tenant platform? Are you thinking elastic infrastructure is simple to leverage in your code? Do you worry about designing solutions that are portable in the cloud? What about open source, is that something I want to be doing?<br/>Addressing Multi-Device Targeting (Android, iOS, Windows) (20 min w/ demo)<br/>Complete coverage of the device sprawl concern every developer hears about on a daily basis. Native development or HTML 5? How does Azure help me here? Mobile backend end services is a key concept that enables flexibility on the client side. <br/>Building Web Sites using the right hosting model for you! (20 min w/ demo)<br/>If you?re navigating around the Azure management portal you?ve seen ""Web Sites"" and if you?ve read about Azure you?ve heard about ""Web Roles"" and of course we?re right around the corner from releasing our VMs that would allow you to install IIS and run a site yourself. Why would you use one over the other? What advantages exist in each and what are the snake pits to avoid?<br/>I?m ready to go live, what happens when the [_ _ _ _] hits the fan? (20 min w/ demo)<br/>Understanding the operational aspects of Azure and how to build fault tolerant solutions is actually still a complex nut to crack. We have tools and features that will help facilitate a high availability solution but what level of fail over makes sense. How can I get the right data that lets me make decisions fast enough to avoid SLA misses? Resiliency is a team sport and we?ll talk through that here.","Application Development
Azure 100 lvl",200,2013,,,11:20am,,1663,3169,Web Development,,https://www.surveymonkey.com/s/ATLCC20132642,,,1/1/1900 0:00,
2593,Introduction to the ASP.NET Web API,"This session introduces ASP.NET Web API and how it compares to existing technologies like WCF. Topics such as Web API security and hosting will also be covered. Finally, some demos will be included to further elaborate on different topics discussed throughout the session.",N/A,100,2013,,,10:10am,,1665,3170,Web Development,,https://www.surveymonkey.com/s/ATLCC20131611,,,1/1/1900 0:00,
2594,"Target iPhone, Android, and WP with C#","This talk will examine how to target the iPhone, Android, and Windows Phone with C#. The key items will be:<br/>* What are the options, issues, and challenges for cross platform development?<br/>* What does the Xamarin toolkit provide?<br/>* What types of libraries are available to speed development?<br/>* How to please users with native UIs and still share code between platforms.",The attendee should be familiar with mobile concepts and the limitations of mobile development.,300,2013,,,2:40pm,,1662,3171,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131584,,,1/1/1900 0:00,
2595,TKO: Knockout Knockdown,"Knockout is a MVVM framework for JavaScript and helps to bring sanity and order to browser applications. Like jQuery, once you start using Knockout, it will become an indispensable tool in your developer's toolbox. No longer will developers have to spend hours working on the plumbing in order to coordinate the synchronization of controls and data. Knockout will knock out the mundane code, allowing the developer to concentrate on writing business solutions, not flimsy one-off frameworks.",Some JavaScript (but not too much is needed),200,2013,,,1:30pm,,1662,3172,Web Development,,https://www.surveymonkey.com/s/ATLCC20131583,,,1/1/1900 0:00,
